annotation2v2,fraction,feature,normal_mean,fibrotic_mean,fibrotic_minus_normal,inflamed_mean,inflamed_minus_normal
CD69+ CD4 T cells,imu,retinoid_vitamin_a_mean,0.001465856097638607,0.0006248285062611103,-0.0008410275913774967,,
CD69+ CD4 T cells,imu,epithelial_bile_urea_transport_mean,0.023139970377087593,0.015537223778665066,-0.007602746598422527,,
CD69+ CD4 T cells,imu,fibrotic_amino_acid_transport_mean,0.07447860389947891,0.061393748968839645,-0.013084854930639267,,
CD8 intraepithelial cells,epi,bile_acid_transport_mean,0.04389005899429321,0.017137834802269936,-0.026752224192023277,0.0,-0.04389005899429321
CD8 intraepithelial cells,epi,ecm_remodeling_mean,0.006459021009504795,0.006261385045945644,-0.0001976359635591507,0.0,-0.006459021009504795
CD8 intraepithelial cells,epi,epithelial_repair_mean,0.10107646137475967,0.1640404760837555,0.06296401470899582,0.07236157357692719,-0.02871488779783249
CD8 intraepithelial cells,epi,fatty_acid_metabolism_mean,0.05081149563193321,0.06142474710941315,0.010613251477479935,0.05385702848434448,0.00304553285241127
CD8 intraepithelial cells,epi,glycolysis_mean,0.14957644045352936,0.18479476869106293,0.03521832823753357,0.1958456039428711,0.046269163489341736
CD8 intraepithelial cells,epi,hypoxia_mean,0.0815792828798294,0.1018204540014267,0.02024117112159729,0.10182270407676697,0.02024342119693756
CD8 intraepithelial cells,epi,inflammation_mean,0.03424264118075371,0.03700339049100876,0.0027607493102550507,0.12469512969255447,0.09045248851180077
CD8 intraepithelial cells,epi,oxidative_phosphorylation_mean,0.1597088724374771,0.1671036183834076,0.007394745945930481,0.17628532648086548,0.016576454043388367
CD8 intraepithelial cells,epi,retinoid_vitamin_a_mean,0.0030480469577014446,0.0025705129373818636,-0.00047753402031958103,0.0,-0.0030480469577014446
CD8 intraepithelial cells,epi,epithelial_bile_urea_transport_mean,0.016208898276090622,0.014275963418185711,-0.001932934857904911,0.009086021222174168,-0.007122877053916454
CD8 intraepithelial cells,epi,fibrotic_amino_acid_transport_mean,0.025960324332118034,0.02566634863615036,-0.00029397569596767426,0.02078942582011223,-0.005170898512005806
CD8 intraepithelial cells,imu,bile_acid_transport_mean,0.058734577149152756,0.005182014778256416,-0.05355256237089634,0.002003974746912718,-0.05673060240224004
CD8 intraepithelial cells,imu,ecm_remodeling_mean,0.006153765134513378,0.007864419370889664,0.0017106542363762856,0.005962200462818146,-0.0001915646716952324
CD8 intraepithelial cells,imu,epithelial_repair_mean,0.12452518194913864,0.13675881922245026,0.012233637273311615,0.050744831562042236,-0.0737803503870964
